xgappid,userid,appname,addtime,usertype,logourl,packagename
98000540,tako_565028bde138230a9b00064f,WeChat,1449847270,0,ks3-public/logo/5f67867b-d620-46c9-737e-7ffab0474c57.png,com.tencent.x10
98000541,tako_565028bde138230a9b00064f,萌宠,1449847362,0,ks3-public/logo/228b29b6-d242-4754-637b-8a7724f2c9b6.png,com.tencent.x06
98000542,tako_565028bde138230a9b00064f,子机,1449847412,0,ks3-public/logo/f70e084e-5b1b-4e4f-6179-0bfaf29d40e1.png,com.example.xlzcjwx1
98000543,tako_565028bde138230a9b00064f,多开母机,1449847449,0,ks3-public/logo/d089ccee-9577-41f3-437b-220609a1b900.png,com.example.xlwxdk01zcj
98000544,tako_565028bde138230a9b00064f,WeChat,1449929451,0,ks3-public/logo/ecd0a056-4458-4085-4d78-519fff612c81.png,com.tencent.x17
98000545,tako_565028bde138230a9b00064f,WeChat,1449929504,0,ks3-public/logo/dfe4b2c2-d79a-4ac4-562e-08dd38bea062.png,com.tencent.x18
98000546,tako_566d0c08a2aa4c6d1e7f27b0,安卓6.3.5紫色,1449987438,0,ks3-public/logo/c115bea2-a2fc-4485-57cf-78284596d4c6.png,com.tencent.purple
98000547,tako_566d0c08a2aa4c6d1e7f27b0,安卓kitty6.3.5,1449987707,0,ks3-public/logo/5046151a-74cc-4820-47e0-10952c158c44.png,com.tencent.hello
98000548,tako_566d0c08a2aa4c6d1e7f27b0,安卓多拉A梦6.3.5,1449987988,0,ks3-public/logo/b5c838b0-3959-437d-5007-9270717527af.png,com.tencent.duola
98000549,tako_566d0c08a2aa4c6d1e7f27b0,安卓粉色6.3.5,1449988352,0,ks3-public/logo/6c384ebc-e06d-4011-7dcd-66436258256e.png,com.tencent.pink
98000550,tako_566d0c08a2aa4c6d1e7f27b0,安卓蓝色6.3.5,1449988822,0,ks3-public/logo/171c09e3-c413-4809-5eea-53aa472bfe46.png,com.tencent.blue
98000551,tako_566d0c08a2aa4c6d1e7f27b0,安卓6.3.5微信注册机母机,1449989034,0,ks3-public/logo/c9532538-3627-4b34-6085-86137f79ea65.png,com.tcsl1
98000552,tako_566d0c08a2aa4c6d1e7f27b0,安卓6.3.5注册机子机,1449989086,0,ks3-public/logo/2e2404c5-081d-48f6-7a81-a9147609c505.png,com.WXZCJZJ.zcj
98000553,tako_5656e63aa2aa4c0861001a2b,紫色,1450014931,0,ks3-public/logo/866773b3-59a2-4753-6af9-3e646bbb10a8.png,com.tencent.zise638
98000554,tako_566d95cda2aa4c6d1e7f3142,WeChat,1450023388,0,ks3-public/logo/749f9de9-3453-420a-590e-68dfda7c07fe.png,com.tencen1.mm
98000555,tako_566d95cda2aa4c6d1e7f3142,微伴侣,1450024002,0,ks3-public/logo/3e351b1b-5876-481a-5e47-e9f2cd28d42e.png,com.youiit.zbk.wbl60
98000556,tako_566d95cda2aa4c6d1e7f3142,微组件,1450024094,0,ks3-public/logo/8c2ed9a4-1e27-4c42-750a-cdf4b2ec388e.png,com.tencent.mm60.test
98000557,tako_566d95cda2aa4c6d1e7f3142,阿狸,1450024575,0,ks3-public/logo/c46ec6f8-1b5c-4e29-457f-8249b5d4ecb3.png,com.tencent.dkal638
98000558,tako_566d3884a2aa4c6d1e7f2ae9,白羊(vx:907833329),1450064693,0,ks3-public/logo/2829c91a-e96e-465b-6d1a-41b813641b77.png,P90.tencent.yuanban
98000559,tako_566d3884a2aa4c6d1e7f2ae9,处女(vx:907833329),1450064866,0,ks3-public/logo/98a566c3-1526-4c84-75a1-49db17cf5e04.png,P91.tencent.yuanban
98000560,tako_5656e63aa2aa4c0861001a2b,樱桃小丸子,1450092138,0,ks3-public/logo/bd4c8a8e-7bb9-4aca-629a-1c363560567e.png,com.tencent.yingtaoxwz
98000561,tako_5656e63aa2aa4c0861001a2b,英雄联盟,1450092468,0,ks3-public/logo/832c75ca-964f-4f98-7372-4e61fedc9474.png,com.tencent.yingxionglm
98000562,tako_5656e63aa2aa4c0861001a2b,夜静赏花,1450092935,0,ks3-public/logo/8d63e50d-38a6-42ea-68dc-968eac8d9006.png,com.tencent.yejing
98000563,tako_5656e63aa2aa4c0861001a2b,小熊维尼,1450094140,0,ks3-public/logo/5942ad2b-643e-48af-6340-09d3607f8d5b.png,com.tencent.weini
98000564,tako_5656e63aa2aa4c0861001a2b,小黄人,1450094460,0,ks3-public/logo/904dd6bc-1d25-45ce-5a81-13b60d7f18a9.png,com.tencent.xiaohuangren
98000565,tako_5656e63aa2aa4c0861001a2b,土巴蛙,1450094801,0,ks3-public/logo/bac73227-aad8-4462-6f73-c6bb51ead18c.png,com.tencent.tubawa
98000566,tako_5656e63aa2aa4c0861001a2b,世界真大,1450095071,0,ks3-public/logo/e2ec74be-0872-4c89-547f-931c21d4f995.png,com.tencent.shijiezhenda
98000567,tako_5656e63aa2aa4c0861001a2b,皮卡丘,1450095367,0,ks3-public/logo/ecc8b751-e6a5-479e-4991-1537e61e6e54.png,com.tencent.pikaqiu
98000568,tako_5656e63aa2aa4c0861001a2b,轻松熊,1450096427,0,ks3-public/logo/bcf6184b-8e3b-4f20-5d19-806930d09814.png,com.tencent.qingsongxiong638
98000569,tako_5656e63aa2aa4c0861001a2b,麦兜,1450096502,0,ks3-public/logo/170c4209-412d-455b-4913-65678940b9d6.png,com.tencent.maidou
98000570,tako_5656e63aa2aa4c0861001a2b,牛仔服,1450096520,0,ks3-public/logo/a33245c4-0df3-4b55-7776-34ac270bda63.png,com.tencent.niuzaifu
98000571,tako_5656e63aa2aa4c0861001a2b,乔巴,1450096609,0,ks3-public/logo/0e28eba1-e1a8-48d1-596c-2b29f39eda08.png,com.tencent.qiaoba638
98000572,tako_5656e63aa2aa4c0861001a2b,蓝精灵,1450096657,0,ks3-public/logo/356f705b-506f-4b39-7454-e0af10a8c9ef.png,com.tencent.lanjingling
98000573,tako_5656e63aa2aa4c0861001a2b,蜡笔小新,1450097558,0,ks3-public/logo/a583c06d-36f4-4e19-4387-e035a3c4d29e.png,com.tencent.labixiaoxin638
98000574,tako_5656e63aa2aa4c0861001a2b,可妮兔,1450097594,0,ks3-public/logo/e5590037-6c1e-4dbd-57b6-270cc38e3a3e.png,com.tencent.kenitu
98000575,tako_5656e63aa2aa4c0861001a2b,海绵宝宝,1450099752,0,ks3-public/logo/564483f0-b957-46da-6da1-a3d33fd0bef5.png,com.tencent.haimianbaobao
98000576,tako_5656e63aa2aa4c0861001a2b,加菲猫,1450099774,0,ks3-public/logo/208877aa-af3c-4bf1-508d-3cd56021933d.png,com.tencent.jiafeimao
98000577,tako_5656e63aa2aa4c0861001a2b,原色,1450103101,0,ks3-public/logo/6d7db0ee-9fb9-4a1c-498d-c43e16d8149c.png,com.tencent.yuanban638
98000578,tako_5656e63aa2aa4c0861001a2b,红色,1450103114,0,ks3-public/logo/496837ab-fc2b-469c-6c3e-6a5a04f47a6d.png,com.tencent.hongse638
98000579,tako_5656e63aa2aa4c0861001a2b,粉色,1450103121,0,ks3-public/logo/2f9450e4-5781-41a6-64dc-9f490d0d1e2a.png,com.tencent.fense638
98000580,tako_5656e63aa2aa4c0861001a2b,大白,1450105108,0,ks3-public/logo/7cbb41bc-9609-445b-4f7b-8082bcdca478.png,com.tencent.dabai638
98000581,tako_5656e63aa2aa4c0861001a2b,二逼青年,1450105194,0,ks3-public/logo/a5323224-6b82-4af6-6e0b-669ff43181d3.png,com.tencent.erbiqingnian
98000582,tako_5656e63aa2aa4c0861001a2b,迪士尼,1450105203,0,ks3-public/logo/845ed921-4b2c-4eab-5df1-3a6514fc73d5.png,com.tencent.dishini638
98000583,tako_566fb451a2aa4c248772d3b0,我的微信,1450161491,0,ks3-public/logo/9c3d3626-c7c4-4555-6c47-40a5ea5deb3e.png,com.tencent.xin.my
98000584,tako_564c982ee138233546000ce5,分身版635,1450202414,0,ks3-public/logo/f86a75bd-55ba-40bb-7ac4-bde11741f741.png,D02.tencent.xin
98000585,tako_564c982ee138233546000ce5,Colorburn,1450206697,0,ks3-public/logo/7eef38b1-2ff2-4887-557f-805dcb9d981b.png,com.colorscamera
98000586,tako_564c982ee138233546000ce5,分身6.3.8,1450234881,0,ks3-public/logo/5479351a-0c14-4a23-7753-202b9ee66b72.png,com.qenpent.vip
98000587,tako_5670da18a2aa4c248772e161,捍康云跑步,1450236543,0,ks3-public/logo/f7ecb268-bae6-4e8e-4701-af38e0e6c8a9.png,com.SShangHai.HKTreadMill
98000588,tako_5657bc5ba2aa4c0861002cc7,sky.大白,1450238846,0,ks3-public/logo/77e49a10-638f-4c70-7f5c-15ffa5cead59.png,com.tencent.dabai638
98000589,tako_56710263a2aa4c248772e3db,哆啦A梦,1450248000,0,ks3-public/logo/6e4b1fb4-0e74-4ea6-7d92-ae6e5e9fd93c.png,com.tencent.x02
98000590,tako_566d95cda2aa4c6d1e7f3142,天蝎座,1450328201,0,ks3-public/logo/d252cf78-dff0-49a9-60de-4eed2227573e.png,com.tencent.m12
98000591,tako_566d95cda2aa4c6d1e7f3142,狮子座,1450328346,0,ks3-public/logo/2696355f-f376-4df5-58b5-0638f8cd4569.png,com.tencent.m07
98000592,tako_56476312e138231293000e24,微信分身（开发商微信：fy19880）,1450407174,0,ks3-public/logo/40bfe149-6bbf-4adc-4538-816e6f0c7e00.png,D02.tencent.xin
98000593,tako_5648362be138231293001129,白羊座,1450417498,0,ks3-public/logo/2c1aff0e-77ce-43e1-528f-690e2aad009c.png,com.tencent.m01
98000594,tako_5648362be138231293001129,处女座,1450417628,0,ks3-public/logo/76a06c3c-01c1-4ca1-5186-1830a71dee17.png,com.tencent.m02
98000595,tako_5648362be138231293001129,金牛座,1450417725,0,ks3-public/logo/176bfd3f-d078-4420-446f-c2f219ff0a60.png,com.tencent.m03
98000596,tako_5648362be138231293001129,巨蟹座,1450417809,0,ks3-public/logo/92df3864-d0e7-4ebc-63a7-aa2d7a349d7b.png,com.tencent.m04
98000597,tako_5648362be138231293001129,摩羯座,1450417959,0,ks3-public/logo/d4700d00-8541-4719-6278-3cdff06dafd7.png,com.tencent.m05
98000598,tako_5648362be138231293001129,射手座,1450418034,0,ks3-public/logo/8d22b412-4e71-4e25-6a1a-6c13d8e6e5dc.png,com.tencent.m06
98000599,tako_5648362be138231293001129,狮子座,1450418220,0,ks3-public/logo/d3c63d07-edf9-4d39-7c1a-940ce7c1235d.png,com.tencent.m07
98000600,tako_5648362be138231293001129,双鱼座,1450418310,0,ks3-public/logo/0fc10206-fc45-4187-4f48-99859a6a1e0e.png,com.tencent.m08
98000601,tako_5648362be138231293001129,双子座,1450418442,0,ks3-public/logo/0de243ba-eeda-42df-56a1-ea7a88e5fbee.png,com.tencent.m09
98000602,tako_5648362be138231293001129,水平座,1450418531,0,ks3-public/logo/18e0bd53-bc0f-42ca-7bdc-f5e45b656169.png,com.tencent.m10
98000603,tako_5648362be138231293001129,天平座,1450418646,0,ks3-public/logo/0f426f5e-fd18-4346-74af-cea5b9e2d9f9.png,com.tencent.m11
98000604,tako_5648362be138231293001129,天蝎座,1450418920,0,ks3-public/logo/e575e082-595f-4322-7ebf-62cc83c69ce3.png,com.tencent.m12
98000605,tako_564c982ee138233546000ce5,微信分身,1450428053,0,ks3-public/logo/2a561603-c136-408d-476c-fec56b1562e9.png,com.qenpeno.vip
98000606,tako_564c982ee138233546000ce5,微信分身多开,1450433848,0,ks3-public/logo/627a0d88-ab56-49b3-76d2-e0b9d92ca82f.png,cn.bigxue.gecvone
98000607,tako_5674fda3a2aa4c08060ef3af,安隆专用,1450508133,0,ks3-public/logo/89f8aa3f-d462-499e-4df1-baf2fc7dd4c8.png,com.tencent.anlongzs
98000608,tako_5674fda3a2aa4c08060ef3af,安隆专用,1450509653,0,ks3-public/logo/3dc8eb8f-cee0-4862-597d-6c9fc092c681.png,com.tencent.anlong
98000609,tako_5654e60de138233a11000792,超级文件管理器,1450531794,0,ks3-public/logo/cb5788f3-b848-4501-6c9c-02f4ac39151f.png,com.qihoo.explorer
98000610,tako_5654e60de138233a11000792,WeChat,1450532868,0,ks3-public/logo/595b06b6-6b2c-4357-5c81-bc6a681602e4.png,com.tencent.mm
98000611,tako_564c982ee138233546000ce5,微信多开分身 cvtwo,1450548062,0,ks3-public/logo/c575f955-25c1-4eab-5422-aa62659462b3.png,cn.bigxue.gecvtwo
98000612,tako_564c982ee138233546000ce5,微信分身多开 cvthree,1450549939,0,ks3-public/logo/4e710a77-dc44-4d83-7868-5c7cf5feae94.png,cn.bigxue.gecvthree
98000613,tako_564c982ee138233546000ce5,微信分身多开 cvfour,1450550470,0,ks3-public/logo/a95d400e-c24e-42b7-761c-9e8d9e9add33.png,cn.bigxue.gecvfour
98000614,tako_564c982ee138233546000ce5,护眼图c,1450550842,0,ks3-public/logo/7d0b403e-dd2d-4c74-438c-de1e3a1350c9.png,cn.bigxue.gecvyin
98000615,tako_56765ea0a2aa4c08060f02d4,YYLT,1450598451,0,ks3-public/logo/9feb0965-f6a0-4276-6cbc-fdc68843c5d1.png,com.tencent2.xin
98000616,tako_5677aad1a2aa4c08060f11d2,微信美化版,1450685100,0,ks3-public/logo/9252bfa2-aa53-4916-4c40-531afa5c65df.png,jin.tencent.xin
